produto,quantidade,preco,estado,data_venda,codigo_venda
Celular,1,2500,PE,2025-05-27 22:56:23.517853,VND100126
Notebook,2,nan,BA,2024-12-22 22:56:23.517855,VND100127
Monitor,,2000,RS,2024-08-27 22:56:23.517856,VND100128
Monitor,,mil,PR,2025-01-13 22:56:23.517859,VND100129
Monitor,,mil,SC,2025-01-28 22:56:23.517860,VND100130
Headset,5,2500,BA,2024-07-04 22:56:23.517862,VND100131
Notebook,4,1500,BA,2024-12-05 22:56:23.517864,VND100132
Headset,,2000,DF,2025-06-09 22:56:23.517865,VND100133
,4,mil,BA,2024-09-07 22:56:23.517867,VND100134
Headset,2,2000,SP,2025-04-27 22:56:23.517868,VND100135
Notebook,-1,mil,RS,2024-08-01 22:56:23.517870,VND100136
Notebook,,1000,PE,2025-04-22 22:56:23.517872,VND100137
,2,1500,PR,2025-01-27 22:56:23.517873,VND100138
Notebook,,1500,RS,2024-09-17 22:56:23.517875,VND100139
,1,1000,MG,2024-09-21 22:56:23.517876,VND100140
Notebook,3,2500,,2024-12-23 22:56:23.517878,VND100141
Monitor,2,mil,SP,2024-07-14 22:56:23.517879,VND100142
,,mil,PR,2024-12-07 22:56:23.517881,VND100143
,três,mil,,2025-05-03 22:56:23.517883,VND100144
,3,nan,MG,2025-05-23 22:56:23.517884,VND100145
Tablet,2,nan,BA,2024-10-12 22:56:23.517886,VND100146
Tablet,três,nan,RS,2024-10-24 22:56:23.517887,VND100147
Notebook,três,nan,PE,2025-01-06 22:56:23.517889,VND100148
,5,nan,PR,2024-12-08 22:56:23.517891,VND100149
Tablet,três,1000,CE,2024-09-18 22:56:23.517893,VND100150
Tablet,,1500,,2025-04-20 22:56:23.517895,VND100151
Notebook,5,2500,MG,2025-05-10 22:56:23.517896,VND100152
Tablet,1,2000,,2024-11-09 22:56:23.517898,VND100153
Headset,,nan,DF,2024-09-06 22:56:23.517899,VND100154
Celular,-1,1000,SP,2025-05-18 22:56:23.517901,VND100155
,três,mil,SP,2025-01-14 22:56:23.517903,VND100156
Celular,1,2500,DF,2025-02-24 22:56:23.517904,VND100157
Notebook,3,2500,SP,2025-04-11 22:56:23.517906,VND100158
Monitor,2,2500,RJ,2025-02-17 22:56:23.517907,VND100159
,três,1000,RJ,2025-01-11 22:56:23.517909,VND100160
Notebook,4,2000,PR,2024-08-24 22:56:23.517911,VND100161
,1,nan,CE,2025-04-11 22:56:23.517912,VND100162
Monitor,4,2500,PE,2024-09-16 22:56:23.517914,VND100163
Celular,três,1000,BA,2025-04-17 22:56:23.517915,VND100164
Notebook,4,mil,RJ,2024-11-22 22:56:23.517917,VND100165
,três,1500,MG,2024-12-22 22:56:23.517918,VND100166
,2,mil,DF,2024-07-04 22:56:23.517920,VND100167
,3,1000,RS,2024-10-24 22:56:23.517922,VND100168
Teclado,2,1000,CE,2024-08-18 22:56:23.517923,VND100169
,,1000,PE,2025-04-14 22:56:23.517925,VND100170
Headset,1,2500,MG,2024-09-12 22:56:23.517927,VND100171
Tablet,4,1000,CE,2025-04-30 22:56:23.517928,VND100172
Monitor,2,1500,DF,2024-09-12 22:56:23.517931,VND100173
,três,2500,MG,2025-06-06 22:56:23.517933,VND100174
Teclado,2,mil,DF,2024-07-29 22:56:23.517934,VND100175
Tablet,2,1500,PE,2025-01-04 22:56:23.517936,VND100176
Tablet,1,3000,SP,2024-12-04 22:56:23.517937,VND100177
Notebook,3,mil,BA,2024-07-17 22:56:23.517939,VND100178
Tablet,-1,1000,BA,2024-11-03 22:56:23.517941,VND100179
Headset,2,nan,SC,2024-11-24 22:56:23.517942,VND100180
,1,nan,RJ,2024-12-19 22:56:23.517944,VND100181
Teclado,4,2500,PR,2024-08-01 22:56:23.517946,VND100182
Tablet,três,nan,RS,2024-09-30 22:56:23.517947,VND100183
Notebook,,mil,DF,2024-10-13 22:56:23.517949,VND100184
Headset,-1,2500,SC,2025-06-16 22:56:23.517951,VND100185
Celular,5,mil,,2025-03-01 22:56:23.517953,VND100186
,-1,1000,SC,2025-01-31 22:56:23.517956,VND100187
,três,2000,,2024-07-14 22:56:23.517958,VND100188
Teclado,-1,2000,SC,2025-05-07 22:56:23.517961,VND100189
,três,1500,DF,2025-02-18 22:56:23.517963,VND100190
Tablet,1,1000,PE,2025-06-06 22:56:23.517966,VND100191
Notebook,5,nan,DF,2024-08-29 22:56:23.517969,VND100192
,2,1000,BA,2025-01-27 22:56:23.517972,VND100193
,2,3000,DF,2024-08-30 22:56:23.517974,VND100194
Celular,-1,2000,PE,2024-07-22 22:56:23.517977,VND100195
Celular,1,nan,CE,2024-10-14 22:56:23.517979,VND100196
Monitor,5,mil,BA,2025-05-31 22:56:23.517981,VND100197
Headset,2,mil,SP,2024-11-23 22:56:23.517982,VND100198
Tablet,4,2000,MG,2025-05-21 22:56:23.517984,VND100199
,3,1000,SP,2025-05-25 22:56:23.517985,VND100200
,3,nan,PR,2024-09-06 22:56:23.517988,VND100201
,2,1500,SP,2025-02-06 22:56:23.517990,VND100202
Notebook,5,mil,,2025-01-16 22:56:23.517992,VND100203
Monitor,,1000,BA,2025-06-07 22:56:23.517993,VND100204
Headset,2,1500,SP,2024-08-26 22:56:23.517995,VND100205
,,nan,RJ,2024-08-25 22:56:23.517996,VND100206
Monitor,,2000,,2025-01-12 22:56:23.517998,VND100207
Teclado,três,3000,SP,2024-11-01 22:56:23.518000,VND100208
Headset,três,2500,RS,2025-04-05 22:56:23.518003,VND100209
,5,2000,PR,2024-10-03 22:56:23.518005,VND100210
,,1500,MG,2025-03-31 22:56:23.518006,VND100211
Headset,4,1000,PE,2025-06-25 22:56:23.518008,VND100212
,5,mil,RS,2025-04-15 22:56:23.518010,VND100213
Tablet,2,nan,RS,2025-05-21 22:56:23.518011,VND100214
Headset,-1,2000,RS,2025-05-30 22:56:23.518013,VND100215
Monitor,4,mil,PE,2024-09-05 22:56:23.518015,VND100216
Headset,1,mil,RJ,2025-02-24 22:56:23.518016,VND100217
,3,3000,RJ,2025-01-13 22:56:23.518018,VND100218
,2,nan,PE,2025-03-17 22:56:23.518020,VND100219
Tablet,2,1500,CE,2025-05-09 22:56:23.518022,VND100220
Tablet,2,nan,,2025-03-27 22:56:23.518023,VND100221
Teclado,4,nan,DF,2024-09-06 22:56:23.518025,VND100222
Monitor,1,1000,DF,2025-02-01 22:56:23.518027,VND100223
Celular,-1,2500,RJ,2024-12-04 22:56:23.518028,VND100224
Celular,5,mil,BA,2024-09-13 22:56:23.518030,VND100225
Headset,três,1500,PE,2025-02-12 22:56:23.518031,VND100226
Teclado,1,1000,RJ,2024-09-08 22:56:23.518033,VND100227
Notebook,4,mil,BA,2024-10-18 22:56:23.518035,VND100228
Headset,2,2500,DF,2024-12-23 22:56:23.518036,VND100229
Teclado,3,1000,SP,2024-12-02 22:56:23.518038,VND100230
Monitor,2,2500,RJ,2025-06-15 22:56:23.518040,VND100231
Monitor,5,2500,PR,2025-03-21 22:56:23.518041,VND100232
Monitor,,2500,SP,2025-03-16 22:56:23.518044,VND100233
Monitor,3,1000,SP,2024-11-21 22:56:23.518045,VND100234
Monitor,2,nan,RJ,2025-06-04 22:56:23.518047,VND100235
Teclado,-1,2500,BA,2025-03-19 22:56:23.518048,VND100236
Teclado,3,nan,PR,2025-01-20 22:56:23.518050,VND100237
Tablet,,mil,BA,2024-07-11 22:56:23.518051,VND100238
,três,mil,RS,2025-03-06 22:56:23.518053,VND100239
Celular,1,1500,BA,2025-06-10 22:56:23.518055,VND100240
,4,3000,BA,2025-04-03 22:56:23.518056,VND100241
Monitor,três,nan,CE,2024-08-22 22:56:23.518058,VND100242
Notebook,2,mil,SC,2024-07-17 22:56:23.518059,VND100243
,5,3000,MG,2024-07-14 22:56:23.518061,VND100244
Teclado,1,2500,SC,2024-09-11 22:56:23.518062,VND100245
Notebook,três,3000,PR,2025-02-05 22:56:23.518064,VND100246
Notebook,2,3000,PR,2025-01-15 22:56:23.518066,VND100247
Notebook,1,2500,PE,2025-04-04 22:56:23.518067,VND100248
Tablet,três,nan,BA,2025-05-30 22:56:23.518069,VND100249
Teclado,5,2500,SP,2025-02-23 22:56:23.518070,VND100250
Notebook,2,1500,SC,2024-11-01 22:56:23.518072,VND100251
Monitor,,2000,PE,2024-07-16 22:56:23.518073,VND100252
Headset,,1000,RS,2024-08-18 22:56:23.518075,VND100253
Notebook,5,2500,MG,2024-10-01 22:56:23.518077,VND100254
Tablet,3,2500,BA,2025-02-11 22:56:23.518078,VND100255
,5,3000,PE,2025-01-18 22:56:23.518080,VND100256
Teclado,3,1500,SC,2024-09-09 22:56:23.518082,VND100257
,2,mil,RS,2025-04-15 22:56:23.518083,VND100258
Tablet,três,mil,CE,2025-05-05 22:56:23.518085,VND100259
Notebook,3,3000,DF,2025-01-31 22:56:23.518087,VND100260
Teclado,2,nan,MG,2024-07-05 22:56:23.518089,VND100261
Headset,2,2500,PR,2024-11-03 22:56:23.518091,VND100262
Notebook,-1,2500,CE,2024-12-12 22:56:23.518092,VND100263
Tablet,4,3000,,2024-10-31 22:56:23.518094,VND100264
Celular,2,2500,,2024-12-06 22:56:23.518096,VND100265
Monitor,3,nan,BA,2024-07-22 22:56:23.518097,VND100266
,4,2000,DF,2025-03-25 22:56:23.518099,VND100267
,4,1000,DF,2025-05-11 22:56:23.518100,VND100268
Tablet,2,1000,MG,2024-08-05 22:56:23.518102,VND100269
Teclado,5,1000,SP,2024-11-26 22:56:23.518104,VND100270
,5,2000,CE,2024-09-07 22:56:23.518105,VND100271
,,2500,SP,2025-03-11 22:56:23.518107,VND100272
,4,3000,RJ,2025-01-28 22:56:23.518108,VND100273
Notebook,2,mil,CE,2024-10-26 22:56:23.518110,VND100274
Monitor,-1,1500,RS,2025-03-16 22:56:23.518112,VND100275
Notebook,5,2500,BA,2025-04-24 22:56:23.518113,VND100276
Teclado,-1,2000,CE,2024-10-17 22:56:23.518115,VND100277
Notebook,2,nan,CE,2025-06-10 22:56:23.518116,VND100278
Celular,2,2000,RJ,2024-11-20 22:56:23.518118,VND100279
Monitor,três,mil,MG,2024-09-12 22:56:23.518119,VND100280
Monitor,4,1000,MG,2024-12-06 22:56:23.518121,VND100281
Teclado,três,2500,RS,2024-07-29 22:56:23.518123,VND100282
,-1,mil,MG,2024-11-01 22:56:23.518124,VND100283
Celular,três,1000,DF,2025-04-03 22:56:23.518126,VND100284
Tablet,,1500,SC,2024-08-19 22:56:23.518127,VND100285
Notebook,4,nan,RJ,2024-10-03 22:56:23.518129,VND100286
Headset,1,1000,SC,2025-04-27 22:56:23.518131,VND100287
Notebook,três,1500,SC,2024-11-05 22:56:23.518132,VND100288
,-1,2000,RJ,2024-09-16 22:56:23.518134,VND100289
Notebook,5,1000,SC,2024-12-04 22:56:23.518136,VND100290
Tablet,5,1000,SC,2024-08-18 22:56:23.518137,VND100291
Notebook,5,3000,SC,2024-07-23 22:56:23.518139,VND100292
Celular,3,nan,RS,2024-11-08 22:56:23.518140,VND100293
Celular,2,nan,PR,2024-08-22 22:56:23.518142,VND100294
Monitor,4,mil,RS,2024-12-27 22:56:23.518144,VND100295
Teclado,5,2000,,2025-05-30 22:56:23.518145,VND100296
,1,3000,SP,2025-02-25 22:56:23.518147,VND100297
Headset,5,mil,CE,2025-02-28 22:56:23.518148,VND100298
,,1500,MG,2024-11-09 22:56:23.518150,VND100299
Notebook,2,mil,RJ,2024-09-03 22:56:23.518152,VND100300
Notebook,-1,1500,DF,2024-10-29 22:56:23.518154,VND100301
Tablet,2,2000,SC,2024-07-18 22:56:23.518155,VND100302
Teclado,três,nan,PE,2025-03-08 22:56:23.518157,VND100303
Celular,-1,1500,RJ,2024-12-05 22:56:23.518159,VND100304
Headset,-1,2000,BA,2024-10-07 22:56:23.518160,VND100305
Monitor,três,mil,RJ,2024-09-10 22:56:23.518162,VND100306
Celular,4,1500,CE,2025-03-28 22:56:23.518163,VND100307
,três,2500,DF,2025-03-23 22:56:23.518165,VND100308
Teclado,3,1000,RJ,2025-05-01 22:56:23.518168,VND100309
,-1,mil,DF,2025-02-02 22:56:23.518169,VND100310
,-1,nan,RJ,2024-10-30 22:56:23.518171,VND100311
Monitor,três,mil,RS,2024-12-19 22:56:23.518172,VND100312
,4,2500,RS,2025-02-04 22:56:23.518174,VND100313
Tablet,5,2000,PR,2025-02-14 22:56:23.518176,VND100314
,,2000,SP,2024-10-23 22:56:23.518177,VND100315
Tablet,1,mil,RJ,2024-08-13 22:56:23.518179,VND100316
Notebook,4,2500,,2024-09-19 22:56:23.518180,VND100317
,3,mil,,2024-10-16 22:56:23.518182,VND100318
Teclado,4,1000,SC,2024-10-30 22:56:23.518184,VND100319
,2,1000,RJ,2025-05-02 22:56:23.518185,VND100320
Headset,5,3000,BA,2024-09-14 22:56:23.518187,VND100321
Monitor,5,1500,DF,2025-06-07 22:56:23.518189,VND100322
Celular,-1,3000,SC,2025-05-17 22:56:23.518191,VND100323
Teclado,5,1000,PR,2025-05-05 22:56:23.518192,VND100324
Teclado,5,2500,DF,2024-07-19 22:56:23.518194,VND100325
Tablet,três,1500,RS,2024-11-12 22:56:23.518195,VND100326
,5,2500,PE,2024-08-31 22:56:23.518197,VND100327
,5,3000,SC,2025-06-14 22:56:23.518199,VND100328
,1,2000,RS,2025-03-22 22:56:23.518200,VND100329
Notebook,3,2500,BA,2024-12-17 22:56:23.518202,VND100330
Notebook,-1,3000,SC,2024-10-25 22:56:23.518203,VND100331
Monitor,três,3000,SC,2024-11-20 22:56:23.518205,VND100332
Tablet,5,3000,SC,2025-06-23 22:56:23.518207,VND100333
Teclado,-1,2000,SP,2024-09-22 22:56:23.518208,VND100334
,3,2000,SC,2025-01-22 22:56:23.518210,VND100335
Headset,três,mil,SP,2024-07-10 22:56:23.518211,VND100336
Tablet,,2000,RS,2024-07-12 22:56:23.518213,VND100337
Monitor,5,1500,PR,2025-01-22 22:56:23.518215,VND100338
Monitor,-1,2000,SP,2024-12-07 22:56:23.518216,VND100339
Tablet,4,2000,SP,2024-07-23 22:56:23.518218,VND100340
Monitor,três,2000,SC,2025-04-02 22:56:23.518219,VND100341
Tablet,três,2500,PR,2024-10-29 22:56:23.518221,VND100342
Celular,-1,2000,SC,2025-01-07 22:56:23.518223,VND100343
Tablet,5,1500,RS,2024-11-11 22:56:23.518224,VND100344
,2,3000,SC,2025-03-12 22:56:23.518226,VND100345
Tablet,1,2500,MG,2024-08-20 22:56:23.518227,VND100346
Monitor,4,1000,CE,2025-05-11 22:56:23.518229,VND100347
,4,2000,RS,2024-09-30 22:56:23.518231,VND100348
,2,mil,RJ,2025-01-18 22:56:23.518232,VND100349
Monitor,5,mil,DF,2024-12-19 22:56:23.518234,VND100350
Notebook,três,3000,DF,2024-12-22 22:56:23.518235,VND100351
Notebook,três,3000,PR,2025-03-31 22:56:23.518237,VND100352
,1,2500,MG,2025-02-23 22:56:23.518239,VND100353
,4,mil,SP,2025-06-02 22:56:23.518241,VND100354
,1,1000,MG,2025-05-02 22:56:23.518243,VND100355
Celular,4,nan,CE,2025-03-05 22:56:23.518244,VND100356
,5,mil,RS,2024-09-27 22:56:23.518246,VND100357
Notebook,,mil,PR,2024-11-10 22:56:23.518247,VND100358
Tablet,4,1500,MG,2025-06-19 22:56:23.518249,VND100359
Monitor,,nan,BA,2024-12-04 22:56:23.518251,VND100360
Notebook,4,3000,SP,2024-07-18 22:56:23.518253,VND100361
Notebook,três,nan,MG,2024-09-26 22:56:23.518254,VND100362
Celular,3,mil,PR,2025-02-23 22:56:23.518256,VND100363
,5,3000,BA,2025-03-12 22:56:23.518257,VND100364
,2,nan,RJ,2024-09-20 22:56:23.518259,VND100365
Teclado,,3000,RS,2025-01-21 22:56:23.518261,VND100366
Celular,2,3000,RS,2025-06-17 22:56:23.518262,VND100367
Tablet,5,2500,RJ,2024-08-18 22:56:23.518264,VND100368
,-1,1000,,2024-08-22 22:56:23.518265,VND100369
Monitor,2,3000,SC,2025-04-13 22:56:23.518267,VND100370
,5,1500,DF,2025-03-11 22:56:23.518268,VND100371
Celular,três,mil,BA,2025-05-23 22:56:23.518270,VND100372
,2,mil,SP,2025-06-09 22:56:23.518272,VND100373
Notebook,,1500,MG,2025-03-04 22:56:23.518273,VND100374
Monitor,3,2000,CE,2024-10-25 22:56:23.518275,VND100375
Monitor,2,3000,DF,2024-09-17 22:56:23.518276,VND100376
Notebook,,3000,PR,2024-10-31 22:56:23.518278,VND100377
Celular,4,3000,SC,2025-05-30 22:56:23.518279,VND100378
Notebook,5,nan,SP,2024-12-22 22:56:23.518281,VND100379
,1,3000,CE,2025-01-30 22:56:23.518283,VND100380
Teclado,-1,3000,CE,2025-02-24 22:56:23.518284,VND100381
Monitor,três,1500,SP,2025-06-05 22:56:23.518286,VND100382
Headset,1,1000,SC,2024-11-22 22:56:23.518287,VND100383
Headset,três,1000,PR,2024-08-20 22:56:23.518289,VND100384
,5,2000,RJ,2025-01-18 22:56:23.518291,VND100385
Tablet,três,1500,DF,2024-12-19 22:56:23.518292,VND100386
,3,3000,PE,2025-03-07 22:56:23.518294,VND100387
Notebook,2,1000,PE,2024-10-23 22:56:23.518295,VND100388
Notebook,3,2500,SC,2024-07-19 22:56:23.518297,VND100389
Tablet,1,2500,CE,2025-04-17 22:56:23.518299,VND100390
Tablet,-1,2500,MG,2025-03-24 22:56:23.518300,VND100391
,,3000,RJ,2025-04-23 22:56:23.518302,VND100392
,-1,3000,RJ,2025-05-14 22:56:23.518304,VND100393
Tablet,5,2000,SC,2024-11-02 22:56:23.518305,VND100394
Monitor,5,mil,PR,2024-08-03 22:56:23.518307,VND100395
,3,2000,SC,2025-03-17 22:56:23.518308,VND100396
Teclado,,2000,,2024-11-26 22:56:23.518310,VND100397
,3,nan,MG,2025-06-17 22:56:23.518311,VND100398
Notebook,2,2500,RS,2025-01-22 22:56:23.518313,VND100399
,4,3000,PE,2025-01-09 22:56:23.518315,VND100400
Monitor,,2500,SC,2024-11-26 22:56:23.518318,VND100401
Tablet,4,2000,RJ,2025-03-17 22:56:23.518319,VND100402
Notebook,-1,3000,PR,2025-01-10 22:56:23.518321,VND100403
,2,1500,PE,2024-09-21 22:56:23.518322,VND100404
Monitor,três,1000,BA,2024-12-26 22:56:23.518324,VND100405
Teclado,três,1000,SP,2024-07-31 22:56:23.518326,VND100406
,4,2000,RJ,2025-02-26 22:56:23.518327,VND100407
Monitor,1,mil,BA,2024-09-21 22:56:23.518329,VND100408
Teclado,-1,2500,PR,2025-02-18 22:56:23.518331,VND100409
Tablet,4,1500,RJ,2024-08-28 22:56:23.518332,VND100410
,2,3000,SC,2025-06-19 22:56:23.518334,VND100411
Teclado,4,mil,RJ,2024-11-10 22:56:23.518335,VND100412
Notebook,5,2500,PR,2024-08-03 22:56:23.518337,VND100413
Tablet,3,2000,RJ,2025-05-10 22:56:23.518339,VND100414
Notebook,1,2500,MG,2024-06-29 22:56:23.518340,VND100415
Headset,5,2000,CE,2025-04-01 22:56:23.518342,VND100416
Celular,5,nan,BA,2025-06-13 22:56:23.518343,VND100417
,2,1000,RS,2024-10-09 22:56:23.518345,VND100418
Teclado,3,mil,CE,2025-04-13 22:56:23.518347,VND100419
Celular,3,1000,PR,2024-07-30 22:56:23.518348,VND100420
Celular,,2500,PE,2025-05-07 22:56:23.518350,VND100421
Teclado,-1,1500,,2025-06-11 22:56:23.518352,VND100422
Tablet,1,3000,MG,2025-04-24 22:56:23.518354,VND100423
,-1,2000,,2025-03-17 22:56:23.518357,VND100424
Headset,2,3000,,2025-03-23 22:56:23.518360,VND100425
